timestamp, power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/04/28 20:36:23.673, 95.89 W, 72, 1552 MHz, 7301 MHz
2026/04/28 20:36:24.673, 93.09 W, 71, 1552 MHz, 7301 MHz
2026/04/28 20:36:25.674, 92.26 W, 70, 1552 MHz, 7301 MHz
2026/04/28 20:36:26.674, 95.62 W, 71, 1552 MHz, 7301 MHz
2026/04/28 20:36:27.674, 94.96 W, 71, 1552 MHz, 7301 MHz
2026/04/28 20:36:28.674, 92.64 W, 70, 1552 MHz, 7301 MHz
2026/04/28 20:36:29.674, 94.06 W, 70, 1552 MHz, 7301 MHz
2026/04/28 20:36:30.674, 93.94 W, 70, 1552 MHz, 7301 MHz
2026/04/28 20:36:31.674, 94.12 W, 70, 1552 MHz, 7301 MHz
2026/04/28 20:36:32.674, 95.81 W, 70, 1552 MHz, 7301 MHz
2026/04/28 20:36:33.674, 95.60 W, 70, 1552 MHz, 7301 MHz
2026/04/28 20:36:34.675, 95.53 W, 71, 1552 MHz, 7301 MHz
2026/04/28 20:36:35.675, 95.49 W, 71, 1552 MHz, 7301 MHz
2026/04/28 20:36:36.675, 95.61 W, 71, 1552 MHz, 7301 MHz
2026/04/28 20:36:37.675, 96.13 W, 70, 1552 MHz, 7301 MHz
2026/04/28 20:36:38.675, 96.05 W, 70, 1552 MHz, 7301 MHz
2026/04/28 20:36:39.675, 95.63 W, 71, 1552 MHz, 7301 MHz
2026/04/28 20:36:40.675, 95.58 W, 71, 1552 MHz, 7301 MHz
2026/04/28 20:36:41.676, 94.35 W, 70, 1552 MHz, 7301 MHz
2026/04/28 20:36:42.676, 95.29 W, 70, 1545 MHz, 7301 MHz
2026/04/28 20:36:43.676, 95.28 W, 71, 1552 MHz, 7301 MHz
2026/04/28 20:36:44.676, 95.90 W, 71, 1552 MHz, 7301 MHz
2026/04/28 20:36:45.676, 96.48 W, 71, 1552 MHz, 7301 MHz
2026/04/28 20:36:46.676, 95.82 W, 71, 1552 MHz, 7301 MHz
2026/04/28 20:36:47.676, 95.54 W, 71, 1552 MHz, 7301 MHz
2026/04/28 20:36:48.676, 95.39 W, 70, 1552 MHz, 7301 MHz
2026/04/28 20:36:49.676, 95.40 W, 71, 1552 MHz, 7301 MHz
2026/04/28 20:36:50.677, 96.50 W, 71, 1552 MHz, 7301 MHz
2026/04/28 20:36:51.677, 96.06 W, 71, 1552 MHz, 7301 MHz
2026/04/28 20:36:52.677, 96.18 W, 71, 1552 MHz, 7301 MHz
2026/04/28 20:36:53.677, 95.96 W, 71, 1500 MHz, 7301 MHz
2026/04/28 20:36:54.677, 96.71 W, 71, 1552 MHz, 7301 MHz
2026/04/28 20:36:55.677, 96.62 W, 71, 1552 MHz, 7301 MHz
2026/04/28 20:36:56.677, 95.54 W, 72, 1552 MHz, 7301 MHz
2026/04/28 20:36:57.677, 95.26 W, 71, 1440 MHz, 7301 MHz
2026/04/28 20:36:58.677, 96.62 W, 72, 1552 MHz, 7301 MHz
2026/04/28 20:36:59.678, 97.10 W, 73, 1552 MHz, 7301 MHz
2026/04/28 20:37:00.678, 97.43 W, 73, 1537 MHz, 7301 MHz
2026/04/28 20:37:01.678, 97.46 W, 73, 1552 MHz, 7301 MHz
2026/04/28 20:37:02.678, 98.40 W, 73, 1552 MHz, 7301 MHz
2026/04/28 20:37:03.678, 96.23 W, 72, 1552 MHz, 7301 MHz
2026/04/28 20:37:04.678, 98.36 W, 72, 1552 MHz, 7301 MHz
2026/04/28 20:37:05.678, 98.22 W, 72, 1515 MHz, 7301 MHz
2026/04/28 20:37:06.679, 97.06 W, 72, 1552 MHz, 7301 MHz
2026/04/28 20:37:07.679, 97.71 W, 71, 1552 MHz, 7301 MHz
2026/04/28 20:37:08.679, 96.85 W, 71, 1462 MHz, 7301 MHz
